calories,carb,fat,name,protein,sugar,type
104,14.7,4.3,Light and Silky Mashed Potatoes,2.1,1.3,Main dishes
397,54.6,18.3,Quick Coconut Macaroons,5.5,39.2,Main dishes
231,32.2,5.7,Spaghetti with Bay Scallops and Lemon,13.6,1.0,Main dishes
193,38.4,1.4,Greek Yogurt Honey Toast,8.4,24.6,Main dishes
116,19.9,2.9,Easy Pilaf,2.1,1.0,Main dishes
58,5.7,4.0,Easy Thai Carrot Soup,1.0,2.1,Main dishes
253,37.1,9.5,Fluffy Whole Wheat Biscuits,6.7,4.5,Main dishes
83,6.3,6.2,Avocado Strawberry and Spinach Salad,1.4,2.4,Main dishes
65,3.9,2.2,Cottage Cheese Cauliflower Bake,7.9,2.1,Main dishes
62,5.4,3.8,Tofu Salad,2.2,2.6,Main dishes
388,41.9,24.5,Carrot Cake Protein Balls,7.4,31.2,Main dishes
263,8.2,19.5,Chocolate Coconut Protein Shake,17.9,2.6,Main dishes
35,8.9,0.2,Cinnamon Banana and Nectarine Smoothie,0.6,5.2,Main dishes
138,15.9,6.6,Garlic Herb Hummus or Sauce,6.4,0.6,Main dishes
268,8.1,26.8,Balsamic and Avocado Snack,1.5,1.6,Main dishes
59,7.5,2.2,Papaya Flaxseed Shake,3.0,5.6,Main dishes
149,25.4,5.0,Cinnamon Apple and Honey Toast,2.8,13.9,Main dishes
43,5.6,1.2,Saut ed Spinach with Mushrooms,3.1,1.0,Main dishes
66,12.7,1.4,Berry Kiwi Yogurt Smoothie,1.8,7.9,Main dishes
191,41.2,1.2,Simple Pasta Salad,5.1,1.6,Main dishes
137,14.3,7.4,White Chocolate Hot Cocoa,3.5,14.0,Main dishes
63,9.8,1.4,Banana Kiwi and Yogurt Smoothie,3.4,7.4,Main dishes
367,30.5,21.1,Bre Che st,14.4,4.6,Main dishes
37,3.4,1.8,Green Salad with Olives,3.0,0.9,Main dishes
35,4.4,1.8,Easy Lemon Dill Cucumbers,0.9,2.8,Main dishes
63,6.6,3.9,Roasted Broccoli and Green Beans,2.2,2.5,Main dishes
41,10.5,0.1,Broiled Grapefruit,0.6,9.4,Main dishes
214,37.7,4.3,Toast with Figs Ricotta and Honey,8.4,23.7,Main dishes
135,1.7,8.5,Sinless Deviled Eggs,11.9,1.1,Main dishes
62,11.0,1.2,Spicy Buffalo Cauliflower Bites,2.3,1.3,Main dishes
390,41.5,22.6,gredient Protein Bars,12.9,5.8,Main dishes
182,12.9,13.3,Dijon Pistachio Dressing Dip,6.3,5.3,Main dishes
382,39.0,19.1,Crispy Parmesan Chips,12.3,0.1,Main dishes
194,22.7,10.9,Red Pepper Avocado Toast,4.4,2.3,Main dishes
135,14.8,3.6,Chocolate Protein Muffins,14.8,3.2,Main dishes
323,5.1,32.8,Homemade Creamy Caesar Dressing,4.2,1.4,Main dishes
385,60.7,15.2,Peanut Butter Energy Bites,8.5,36.7,Main dishes
57,11.8,0.8,Blueberry Banana and Strawberry Smoothie,1.7,6.9,Main dishes
474,40.3,30.7,Peanut Butter Energy Bites,16.5,27.3,Main dishes
382,62.8,12.9,Lemonade Tea Cake Cookies,4.4,38.4,Main dishes
39,8.6,0.4,Raspberry Mango Sunrise Smoothie,1.1,6.5,Main dishes
185,31.1,6.8,Oatcakes,4.2,2.5,Main dishes
321,27.0,23.5,Candied Spiced Chickpeas,2.4,20.1,Main dishes
152,7.3,13.0,Balsamic Saut ed Spinach,1.8,4.8,Main dishes
68,14.1,0.4,Vietnamese Style Spring Rolls,2.7,1.8,Main dishes
92,9.2,4.2,Cauliflower Tots,5.4,2.0,Main dishes
45,7.2,1.6,Jamaican Steam Cabbage,1.1,4.5,Main dishes
159,26.1,3.9,Pasta and Bean salad,5.9,1.0,Main dishes
121,20.5,4.0,Banana Coffee Cashew and Cocoa Smoothie,2.9,10.2,Main dishes
47,10.1,1.0,Apple Celery Salad,0.4,7.2,Main dishes
346,11.9,23.4,Coconut Flour Bread,22.9,0.2,Main dishes
50,7.7,2.0,Simple Coleslaw,1.2,4.5,Main dishes
377,30.8,24.0,Almond Peanut Butter Chip Muffins,11.3,9.7,Main dishes
118,12.3,7.7,Chocolate Hemp Power Smoothie,3.0,5.2,Main dishes
127,19.2,5.2,Roasted Spiced Sweet Potatoes,1.5,3.9,Main dishes
326,12.9,29.8,Corn Fritters Southern Style,4.1,3.4,Main dishes
90,13.8,2.0,Quick and Easy Homemade Hummus,5.1,0.0,Main dishes
119,5.8,10.8,Garlic & Lemon Roasted Vegetables,1.8,1.9,Main dishes
61,9.4,2.2,Zesty Honey Kale,4.0,3.0,Main dishes
96,22.8,0.4,Lemon Ginger Frozen Yogurt,2.9,20.2,Main dishes
57,6.7,2.6,Potato Soup Italian Style,1.9,0.6,Main dishes
79,7.4,4.5,Corn Zucchini Skillet,3.8,3.3,Main dishes
67,8.7,3.1,Roasted Brussels Sprouts with Lemon Juice,3.2,2.1,Main dishes
212,10.8,14.7,Easy Pea Salad,8.0,5.2,Main dishes
67,4.7,1.2,Yogurt with Sun Dried Tomatoes & Basil,9.8,3.0,Main dishes
83,8.4,3.3,Peach Caprese Salad,5.1,5.7,Main dishes
49,2.7,1.3,Cottage Cheese with Artichokes & Olives,6.6,1.3,Main dishes
476,53.1,26.0,Truffle Popcorn,12.4,0.6,Main dishes
91,10.1,4.5,Thai Peanut Hummus & Celery,3.7,2.0,Main dishes
338,46.4,13.6,Apple Cinnamon Energy Bites,11.2,14.7,Main dishes
435,10.5,43.1,Cream Cheese and Olive Pecan Bites,7.8,4.3,Main dishes
103,8.0,6.4,Spinach Feta and Dill Hummus,4.8,1.4,Main dishes
138,18.9,6.2,Vegan Beet & Ginger Fritters,2.7,2.9,Main dishes
114,2.0,8.5,Baked Tofu Fries,9.6,0.5,Main dishes
125,5.9,9.3,Oven Fried Garlic Parmesan Green Beans,5.8,2.5,Main dishes
93,16.5,2.0,Vegan Baked Samosas,2.6,1.2,Main dishes
340,24.5,25.9,Vegan Avocado Truffles,4.1,11.9,Main dishes
92,15.4,2.0,Vegan Sweet Corn Risotto,3.7,1.8,Main dishes
98,9.8,5.4,Vegan Broccoli Casserole,4.8,2.2,Main dishes
142,20.4,6.1,Mark Bittman’s Autumn Millet Bake,2.4,3.6,Main dishes
136,15.5,5.8,Chocolate Peanut Hazelnut Banana shake,6.3,11.3,Main dishes
339,5.5,27.8,Low Carb Jalapeno Cheese Crisps,17.3,1.9,Main dishes
113,10.1,8.1,Vegan Persimmon Squash Soup,2.0,2.4,Main dishes
27,1.6,1.3,Low Carb Cauliflower & Ham Soup,2.7,0.8,Main dishes
81,13.3,1.4,Yogurt with Banana & Honey,4.9,7.5,Main dishes
342,2.3,36.0,Hollandaise Sauce,4.0,0.6,Main dishes
230,13.4,18.7,Keto Coconut Chia Bars,5.1,3.7,Main dishes
33,8.4,0.2,Classic Fruit Salad,0.6,7.2,Main dishes
193,12.1,14.5,Ham Cream Cheese and Veggie Stacks,5.5,1.5,Main dishes
112,8.6,5.2,Edamame Sesame Bowl,9.1,1.8,Main dishes
114,14.1,5.2,Easy Vegan Potato Salad,1.7,1.0,Main dishes
69,3.5,3.6,Tuna in Cucumber Cups,6.3,1.4,Main dishes
128,17.0,4.7,Toast with Berries Basil & Cream Cheese,5.3,4.8,Main dishes
203,24.4,7.6,Toast with Figs Ricotta & Sesame Seeds,10.7,8.5,Main dishes
71,3.6,2.4,Cottage Cheese with Avocado & Tomato,8.9,2.5,Main dishes
106,13.4,3.0,Yogurt Peanut Butter Dip & Apples,7.0,11.4,Main dishes
85,2.1,1.9,Cottage Cheese with Lox & Dill,14.0,2.0,Main dishes
103,13.3,0.9,Cottage Cheese & Raisins,11.1,10.5,Main dishes
73,11.9,0.6,Pumpkin Cottage Cheese,6.0,9.5,Main dishes
49,6.0,0.3,Yogurt & Honeydew Melon,6.1,5.3,Main dishes
124,19.0,4.2,Lentil and Rice Salad,2.8,0.9,Main dishes
117,17.7,4.5,Apples and Almond Butter on Toast,3.2,9.2,Main dishes
82,20.7,0.2,Rhubarb and Strawberry Compote with Fresh Mint,0.6,18.2,Main dishes
66,3.9,5.7,Swiss Chard with Olives Recipe,1.7,1.0,Main dishes
260,56.7,4.1,Vegan Coconut & Beetroot Balls,4.2,33.3,Main dishes
36,9.0,0.2,Tropical Smoothie,0.5,6.3,Main dishes
92,14.0,0.4,Yogurt & Raisins,9.2,11.0,Main dishes
82,10.3,3.5,Buffalo Cailiflower,1.9,1.4,Main dishes
415,3.4,27.3,Easy Parmesan Crisps,37.9,0.9,Main dishes
160,16.2,10.9,Grilled Corn with Herbs,3.0,5.4,Main dishes
108,5.5,8.7,Creamy Mushrooms,3.3,3.3,Main dishes
13,1.4,0.8,Brown Butter Saut ed Brussel Sprouts,0.5,0.4,Main dishes
102,16.0,3.3,Sour Cream and Parsley Mashed Potatoes,2.5,0.7,Main dishes
