calories,carb,fat,name,protein,sugar,type
297,46.6,11.4,Cranberry and Vanilla Yogurt Scones,6.0,19.9,Desserts
450,55.1,24.0,gredient Peanut Butter Energy Bites,11.5,21.9,Desserts
471,62.9,23.0,Puppy Chow,8.9,30.1,Desserts
108,26.9,0.5,Kiwi Sorbet,1.0,22.0,Desserts
175,24.5,4.7,Rustic Plum and Port Tart,1.5,13.2,Desserts
139,16.6,7.0,Balsamic Roasted Pears with Pepper and Honey,3.4,14.0,Desserts
511,23.3,43.1,Ginger Glazed Almonds,15.8,10.1,Desserts
107,21.8,1.5,Grilled Pineapple with Brown Sugar Coconut and Rum,0.8,16.8,Desserts
402,49.9,19.1,Buttermilk Biscuits with Green Onions Black Pepper and Sea Salt,11.4,13.7,Desserts
94,20.2,1.4,Quick Baked Pears,1.7,14.3,Desserts
364,38.2,22.0,Raw Vegan Beet Cashew Cake,9.7,23.5,Desserts
363,30.4,27.8,Vegan Tahini Cups with Coffee Cream Filling,4.1,22.3,Desserts
258,38.8,10.3,Meyer Lemon and Dried Blueberry Scones,3.5,16.0,Desserts
496,51.7,30.7,Off to Bed Butter Cookies,4.5,21.1,Desserts
442,59.6,21.7,Honey Cookies,3.2,10.7,Desserts
570,56.8,35.4,Gluten Free Ingredient Chocolate Chip Cookies,6.5,0.1,Desserts
177,25.0,6.5,Chocolate Yogurt Mousse,6.1,18.0,Desserts
343,71.7,5.9,Coconut Macaroons,3.5,58.2,Desserts
313,26.5,23.7,Vegan Chocolate Lava Cakes with Coconut Whipped Cream,3.1,17.4,Desserts
63,8.0,3.1,Overnight Chia Seed Pudding,1.7,1.6,Desserts
240,36.3,9.3,EZ Peanut Butter Pie,3.6,27.9,Desserts
335,60.7,9.1,Toasted Coconut and Dark Chocolate Meringues,4.4,58.2,Desserts
90,3.9,2.7,Cottage Cheese Fluff,12.2,3.1,Desserts
510,2.1,55.9,Lemon Fat Bombs,1.5,1.5,Desserts
85,2.3,4.9,Keto Cinnamon Crunchies,6.9,0.1,Desserts
100,15.9,2.4,Peach Cobbler Parfait,4.5,13.3,Desserts
83,13.9,2.0,Vanilla Banana Milkshake,3.0,10.0,Desserts
514,42.1,35.0,gredient Peanut Butter Energy Bites,15.0,16.0,Desserts
226,41.2,6.7,Apple Delight,1.5,9.0,Desserts
115,30.2,0.3,Baked Cinnamon Bananas,1.1,19.4,Desserts
95,7.5,4.5,Winter Strawberry Ricotta,6.6,2.7,Desserts
80,13.2,1.5,Indian Rice Pudding,3.6,10.9,Desserts
436,52.9,23.6,Walnut Brownies,5.5,39.4,Desserts
285,33.1,17.5,Banana Coconut Chocolate Cookies,2.4,20.4,Desserts
242,17.5,15.3,Chocolate Chip Banana Mug Bread,9.1,5.2,Desserts
86,21.0,0.4,Cinnamon Banana Nice Cream,1.0,10.8,Desserts
200,25.0,10.4,Cafe Au Lait Puddings,2.5,19.3,Desserts
339,56.5,11.8,Apple Cookies,4.9,26.7,Desserts
386,75.5,10.7,Deep Dark Chocolate Cookies,3.2,69.4,Desserts
126,21.9,2.6,Low cal Brownie,8.5,2.2,Desserts
438,59.4,20.7,Chocolate Cookies with Soft Chocolate Centers,6.2,1.5,Desserts
479,43.2,31.7,Chocolate Pecan Fudge,7.6,35.0,Desserts
398,52.9,20.6,Brownies,5.2,38.9,Desserts
351,33.1,22.5,Lemon Olive Oil Cake,5.6,19.0,Desserts
388,60.4,15.1,Jamie Oliver s Oatmeal Cookies,7.7,23.7,Desserts
312,60.0,5.4,Martha Stewart s Healthy Oatmeal Cookies,7.6,28.2,Desserts
273,42.0,11.1,Banana Bread,5.3,21.7,Desserts
146,30.3,3.5,Chocolate Chia Pudding,2.7,20.6,Desserts
103,17.2,4.2,Paleo Stuffed Pineapple,1.0,11.7,Desserts
166,20.6,5.9,Berry granola parfait,8.2,11.6,Desserts
172,1.9,10.0,Low Carb Pancakes,18.0,0.2,Desserts
92,11.8,3.9,Warm Pear with Cinnamon Ricotta,3.6,6.9,Desserts
283,41.6,11.9,Banana Lemon Tea Bread,3.8,21.3,Desserts
133,14.6,2.4,Gluten Free Chocolate Protein Muffins,14.8,5.2,Desserts
251,36.8,12.9,Paleo Apple Pie Parfaits,2.2,29.9,Desserts
203,18.8,4.5,Protein Gingerbread,22.4,2.9,Desserts
270,22.1,22.1,Paleo Magic Shell,2.6,14.6,Desserts
211,35.7,6.6,Low Fat Chocolate Chip Zucchini Bread,4.0,15.9,Desserts
315,64.6,4.4,Gingerbread Christmas Tree Cookies,4.9,35.2,Desserts
205,25.7,9.9,Vegan Chocolate Cake,3.5,2.4,Desserts
396,54.7,27.3,Easy Smores Bars,3.6,6.6,Desserts
269,39.8,12.1,Black Bean Brownies,4.4,26.2,Desserts
97,11.8,2.6,Zucchini Chocolate Protein Powder Brownies,7.6,4.0,Desserts
360,2.2,38.3,Cream Cheese Clouds,3.3,1.7,Desserts
109,20.2,1.9,Skinny Butternut Squash Mini Muffins,4.4,4.6,Desserts
400,56.7,18.9,Peanut Butter Chocolate No Bake Cookies,8.8,36.0,Desserts
366,39.4,22.9,nute Chocolate Mug Cake,5.9,19.6,Desserts
388,8.3,37.9,Mascarpone Whipped Cream,4.1,6.7,Desserts
387,72.7,10.6,Coconut and Chocolate Rice Crispies,3.2,35.3,Desserts
254,60.5,0.1,Meringues,4.3,60.3,Desserts
240,19.6,15.3,Cookie Dough Greek Yogurt,8.2,14.1,Desserts
96,11.7,1.9,Cottage Cheese with Blueberries and Honey,8.7,10.6,Desserts
400,64.1,13.8,Gingerbread Men,5.6,21.5,Desserts
481,48.7,31.6,Almond Cornflake Treats,5.3,25.6,Desserts
151,26.3,3.5,Fast Rice Pudding,3.9,16.6,Desserts
432,52.6,23.0,Peanut Butter Cake with Chocolate Peanut Butter Icing,9.8,36.0,Desserts
432,53.1,25.8,Coconut Date Bars,5.7,40.4,Desserts
344,45.4,9.3,Spoon Bread Muffins,20.2,22.2,Desserts
510,55.1,32.7,Chocolate Caramel Graham Crackers,5.4,33.4,Desserts
72,16.3,0.2,Peaches in Ginger Syrup,0.6,15.2,Desserts
203,26.8,10.0,Rhubarb Tart with Orange Glaze,2.5,12.8,Desserts
74,18.9,0.3,Baked nectarines,0.9,16.5,Desserts
89,12.2,4.3,Chilled Strawberry Almond Butter Soup,2.1,4.2,Desserts
208,24.7,11.6,No Bake Key Lime Pie Macaroons,4.3,12.1,Desserts
90,4.0,8.4,Maple Vanilla Coconut Milk,0.8,2.6,Desserts
175,3.0,12.4,Baked Egg Custard with Gruyre and Chives,12.6,2.6,Desserts
551,48.4,39.0,Chocolate Dipped Shortbread Cookies,6.9,15.4,Desserts
303,23.3,24.5,Keto Avocado Brownies,6.6,11.5,Desserts
217,7.4,21.5,Paleo & Keto Chocolate Pudding,2.1,1.5,Desserts
604,21.5,57.1,Dark Chocolate Raspberry Fat Bombs,5.5,8.9,Desserts
362,40.6,20.7,White Chocolate Cream Cheese Mousse,5.1,39.5,Desserts
92,23.6,0.6,Vegan Chocolate Ice Cream,1.5,12.0,Desserts
151,35.7,0.9,gredient Banana Oat Cookies,3.7,9.1,Desserts
149,23.3,4.2,Chocolate Milkshake,4.7,16.8,Desserts
158,22.3,7.5,Maple Banana Peanut Butter Chocolate Smoothie,4.4,12.5,Desserts
